"CP"|"CODE"
"02840"|"02028"
"02490"|"02029"
"02420"|"02030"
"02500"|"02031"
"02590"|"02032"
"02820"|"02033"
"02300"|"02034"
"02120"|"02035"
"02220"|"02036"
"02000"|"02037"
"02360"|"02038"
"02250"|"02039"
"02580"|"02040"
"02300"|"02041"
"02400"|"02042"
"02290"|"02043"
"02140"|"02044"
"02000"|"02046"
"02000"|"02047"
"02270"|"02048"
"02700"|"02049"
"02170"|"02050"
"02850"|"02051"
"02380"|"02052"
"02330"|"02053"
"02220"|"02054"
"02500"|"02055"
"02300"|"02056"
"02110"|"02057"
"02160"|"02058"
"02800"|"02059"
"02590"|"02060"
"02110"|"02061"
"02400"|"02062"
"02420"|"02063"
"02200"|"02064"
"02420"|"02065"
"02440"|"02066"
"02450"|"02067"
"02250"|"02068"
"02340"|"02069"
"02120"|"02070"
"02290"|"02071"
"02820"|"02072"
"02190"|"02073"
"02800"|"02074"
"02240"|"02075"
"02190"|"02076"
"02200"|"02077"
"02300"|"02078"
"02500"|"02079"
"02870"|"02080"
"02300"|"02081"
"02210"|"02082"
"02130"|"02083"
"02310"|"02084"
"02400"|"02085"
"02300"|"02086"
"02290"|"02087"
"02860"|"02088"
"02200"|"02089"
"02210"|"02090"
"02160"|"02091"
"02300"|"02093"
"02400"|"02094"
"02110"|"02095"
"02270"|"02096"
"02350"|"02097"
"02400"|"02098"
"02400"|"02099"
"02420"|"02100"
"02250"|"02101"
"02860"|"02102"
"02450"|"02103"
"02160"|"02104"
"02400"|"02105"
"02160"|"02106"
"02300"|"02107"
"02000"|"02108"
"02140"|"02109"
"02220"|"02110"
"02320"|"02111"
"02110"|"02112"
"02400"|"02114"
"02000"|"02115"
"02140"|"02116"
"02480"|"02117"
"02880"|"02118"
"02210"|"02119"
"02220"|"02120"
"02210"|"02121"
"02870"|"02122"
"02240"|"02123"
"02240"|"02124"
"02810"|"02125"
"02360"|"02126"
"02130"|"02127"
"02860"|"02128"
"02220"|"02129"
"02500"|"02130"
"02880"|"02131"
"02870"|"02132"
"02350"|"02133"
"02500"|"02134"
"02620"|"02135"
"02140"|"02136"
"02810"|"02137"
"02200"|"02138"
"02300"|"02139"
"02300"|"02140"
"02260"|"02141"
"02680"|"02142"
"02420"|"02143"
"02490"|"02144"
"02300"|"02145"
"02330"|"02146"
"02540"|"02147"
"02370"|"02148"
"02240"|"02149"
"02860"|"02150"
"02870"|"02151"
"02220"|"02152"
"02320"|"02153"
"02200"|"02154"
"02000"|"02155"
"02270"|"02156"
"02000"|"02157"
"02860"|"02158"
"02670"|"02159"
"02340"|"02160"
"02330"|"02161"
"02570"|"02162"
"02310"|"02163"
"02850"|"02164"
"02800"|"02165"
"02400"|"02166"
"02370"|"02167"
"02400"|"02168"
"02270"|"02169"
"02240"|"02170"
"02160"|"02171"
"02200"|"02172"
"02300"|"02173"
"02000"|"02174"
"02880"|"02175"
"02370"|"02176"
"02860"|"02177"
"02860"|"02178"
"02220"|"02179"
"02000"|"02180"
"02360"|"02181"
"02250"|"02182"
"02000"|"02183"
"02270"|"02184"
"02810"|"02185"
"02570"|"02186"
"02400"|"02187"
"02120"|"02188"
"02350"|"02189"
"02880"|"02190"
"02000"|"02191"
"02210"|"02192"
"02130"|"02193"
"02250"|"02194"
"02220"|"02195"
"02000"|"02196"
"02260"|"02197"
"02880"|"02198"
"02440"|"02199"
"02340"|"02200"
"02600"|"02201"
"02210"|"02203"
"02360"|"02204"
"02860"|"02205"
"02120"|"02206"
"02300"|"02207"
"02160"|"02208"
"02330"|"02209"
"02370"|"02210"
"02190"|"02211"
"02700"|"02212"
"02330"|"02213"
"02680"|"02214"
"02820"|"02215"
"02600"|"02216"
"02380"|"02217"
"02840"|"02218"
"02380"|"02219"
"02130"|"02220"
"02310"|"02221"
"02800"|"02222"
"02330"|"02223"
"02220"|"02224"
"02810"|"02225"
"02200"|"02226"
"02130"|"02227"
"02850"|"02228"
"02820"|"02229"
"02220"|"02230"
"02270"|"02231"
"02600"|"02232"
"02130"|"02233"
"02160"|"02234"
"02160"|"02235"
"02380"|"02236"
"02270"|"02237"
"02870"|"02238"
"02650"|"02239"
"02110"|"02240"
"02210"|"02241"
"02310"|"02242"
"02880"|"02243"
"02120"|"02244"
"02880"|"02245"
"02480"|"02246"
"02350"|"02248"
"02220"|"02249"
"02160"|"02250"
"02360"|"02251"
"02160"|"02252"
"02200"|"02253"
"02600"|"02254"
"02220"|"02255"
"02140"|"02256"
"02680"|"02257"
"02470"|"02258"
"02600"|"02259"
"02800"|"02260"
"02270"|"02261"
"02700"|"02262"
"02220"|"02263"
"02340"|"02264"
"02360"|"02265"
"02360"|"02266"
"02600"|"02267"
"02310"|"02268"
"02450"|"02269"
"02590"|"02270"
"02130"|"02271"
"02210"|"02272"
"02480"|"02273"
"02350"|"02274"
"02500"|"02275"
"02260"|"02276"
"02290"|"02277"
"02500"|"02278"
"02400"|"02279"
"02400"|"02280"
"02540"|"02281"
"02840"|"02282"
"02250"|"02283"
"02260"|"02284"
"02170"|"02286"
"02690"|"02287"
"02100"|"02288"
"02570"|"02289"
"02400"|"02290"
"02420"|"02291"
"02400"|"02292"
"02110"|"02293"
"02000"|"02294"
"02580"|"02295"
"02590"|"02296"
"02400"|"02297"
"02510"|"02298"
"02190"|"02299"
"02320"|"02301"
"02600"|"02302"
"02100"|"02303"
"02800"|"02304"
"02130"|"02305"
"02270"|"02306"
"02460"|"02307"
"02450"|"02308"
"02840"|"02309"
"02110"|"02310"
"02000"|"02311"
"02260"|"02312"
"02120"|"02313"
"02520"|"02315"
"02600"|"02316"
"02590"|"02317"
"02670"|"02318"
"02110"|"02319"
"02680"|"02320"
"02140"|"02321"
"02110"|"02322"
"02110"|"02323"
"02170"|"02324"
"02540"|"02325"
"02290"|"02326"
"02590"|"02327"
"02650"|"02328"
"02870"|"02329"
"02760"|"02330"
"02140"|"02331"
"02130"|"02332"
"02380"|"02333"
"02230"|"02334"
"02800"|"02335"
"02700"|"02336"
"02260"|"02337"
"02270"|"02338"
"02810"|"02339"
"02430"|"02340"
"02140"|"02341"
"02260"|"02342"
"02590"|"02343"
"02160"|"02344"
"02440"|"02345"
"02350"|"02346"
"02400"|"02347"
"02160"|"02348"
"02820"|"02349"
"02350"|"02350"
"02130"|"02351"
"02420"|"02352"
"02350"|"02353"
"02360"|"02354"
"02100"|"02355"
"02210"|"02356"
"02140"|"02357"
"02110"|"02358"
"02680"|"02359"
"02190"|"02360"
"02120"|"02361"
"02300"|"02362"
"02300"|"02363"
"02160"|"02364"
"02510"|"02366"
"02480"|"02367"
"02600"|"02368"
"02140"|"02369"
"02420"|"02370"
"02100"|"02371"
"02210"|"02372"
"02140"|"02373"
"02420"|"02374"
"02810"|"02375"
"02120"|"02376"
"02140"|"02377"
"02500"|"02378"
"02120"|"02379"
"02440"|"02380"
"02500"|"02381"
"02760"|"02382"
"02720"|"02383"
"02140"|"02384"
"02250"|"02385"
"02510"|"02386"
"02240"|"02387"
"02360"|"02388"
"02850"|"02389"
"02490"|"02390"
"02140"|"02391"
"02420"|"02392"
"02220"|"02393"
"02380"|"02395"
"02160"|"02396"
"02480"|"02397"
"02880"|"02398"
"02190"|"02399"
"02880"|"02400"
"02140"|"02401"
"02590"|"02402"
"02120"|"02403"
"02140"|"02404"
"02140"|"02405"
"02380"|"02406"
"02000"|"02407"
"02000"|"02408"
"02150"|"02409"
"02600"|"02410"
"02210"|"02411"
"02210"|"02412"
"02860"|"02413"
"02450"|"02414"
"02600"|"02415"
"02140"|"02416"
"02420"|"02417"
"02260"|"02418"
"02170"|"02419"
"02100"|"02420"
"02220"|"02421"
"02120"|"02422"
"02380"|"02423"
"02880"|"02424"
"02500"|"02425"
"02420"|"02426"
"02220"|"02427"
"02810"|"02428"
"02860"|"02429"
"02350"|"02430"
"02700"|"02431"
"02220"|"02432"
"02340"|"02433"
"02320"|"02434"
"02500"|"02435"
"02600"|"02438"
"02160"|"02439"
"02190"|"02440"
"02600"|"02441"
"02130"|"02442"
"02400"|"02443"
"02140"|"02444"
"02500"|"02445"
"02440"|"02446"
"02220"|"02447"
"02350"|"02448"
"02470"|"02449"
"02120"|"02450"
"02420"|"02451"
"02490"|"02452"
"02160"|"02453"
"02190"|"02454"
"02120"|"02455"
"02300"|"02456"
"02350"|"02457"
"02540"|"02458"
"02720"|"02459"
"02250"|"02460"
"02300"|"02461"
"02130"|"02462"
"02140"|"02463"
"02880"|"02464"
"02810"|"02465"
"02470"|"02466"
"02470"|"02467"
"02250"|"02468"
"02120"|"02469"
"02500"|"02470"
"02860"|"02471"
"02820"|"02472"
"02800"|"02473"
"02700"|"02474"
"02190"|"02475"
"02630"|"02476"
"02200"|"02477"
"02000"|"02478"
"02160"|"02479"
"02270"|"02480"
"02720"|"02481"
"02160"|"02482"
"02240"|"02483"
"02650"|"02484"
"02200"|"02485"
"02350"|"02486"
"02880"|"02487"
"02110"|"02488"
"02000"|"02489"
"02000"|"02490"
"02270"|"02491"
"02270"|"02492"
"02840"|"02493"
"02120"|"02494"
"02500"|"02495"
"02470"|"02496"
"02000"|"02497"
"02820"|"02498"
"02000"|"02499"
"02110"|"02500"
"02860"|"02501"
"02340"|"02502"
"02390"|"02503"
"02440"|"02504"
"02540"|"02505"
"02600"|"02506"
"02210"|"02507"
"02860"|"02508"
"02400"|"02509"
"02330"|"02510"
"02110"|"02511"
"02810"|"02512"
"02250"|"02513"
"02290"|"02514"
"02330"|"02515"
"02250"|"02516"
"02270"|"02517"
"02330"|"02518"
"02340"|"02519"
"02220"|"02520"
"02310"|"02521"
"02360"|"02522"
"02220"|"02523"
"02400"|"02524"
"02100"|"02525"
"02360"|"02526"
"02290"|"02527"
"02600"|"02528"
"02270"|"02529"
"02160"|"02530"
"02160"|"02531"
"02610"|"02532"
"02210"|"02533"
"02160"|"02534"
"02140"|"02535"
"02200"|"02536"
"02880"|"02537"
"02210"|"02538"
"02420"|"02539"
"02400"|"02540"
"02190"|"02541"
"02300"|"02542"
"02470"|"02543"
"02500"|"02544"
"02250"|"02545"
"02300"|"02546"
"02250"|"02547"
"02450"|"02548"
"02100"|"02549"
"02860"|"02550"
"02880"|"02551"
"02390"|"02552"
"02150"|"02553"
"02400"|"02554"
"02310"|"02555"
"02340"|"02556"
"02600"|"02557"
"02170"|"02558"
"02270"|"02559"
"02800"|"02560"
"02860"|"02561"
"02290"|"02562"
"02120"|"02563"
"02200"|"02564"
"02160"|"02565"
"02300"|"02566"
"02500"|"02567"
"02600"|"02568"
"02450"|"02569"
"02480"|"02570"
"02100"|"02571"
"02190"|"02572"
"02860"|"02573"
"02550"|"02574"
"02390"|"02575"
"02290"|"02576"
"02370"|"02577"
"02160"|"02578"
"02210"|"02579"
"02210"|"02580"
"02220"|"02581"
"02160"|"02582"
"02860"|"02583"
"02260"|"02584"
"02210"|"02585"
"02360"|"02586"
"02840"|"02587"
"02160"|"02588"
"02000"|"02589"
"02330"|"02590"
"02270"|"02591"
"02240"|"02592"
"02200"|"02593"
"02470"|"02594"
"02850"|"02595"
"02310"|"02596"
"02160"|"02597"
"02200"|"02598"
"02300"|"02599"
"02350"|"02600"
"02190"|"02601"
"02320"|"02602"
"02480"|"02604"
"02240"|"02605"
"02210"|"02606"
"02200"|"02607"
"02140"|"02608"
"02860"|"02609"
"02200"|"02610"
"02160"|"02612"
"02160"|"02613"
"02490"|"02614"
"02490"|"02615"
"02380"|"02616"
"02270"|"02617"
"02110"|"02618"
"02320"|"02619"
"02370"|"02620"
"02860"|"02621"
"02470"|"02622"
"02140"|"02623"
"02120"|"02624"
"02120"|"02625"
"02190"|"02626"
"02190"|"02627"
"02600"|"02628"
"02120"|"02629"
"02300"|"02631"
"02380"|"02632"
"02220"|"02633"
"02360"|"02634"
"02110"|"02635"
"02240"|"02636"
"02100"|"02637"
"02270"|"02638"
"02440"|"02639"
"02240"|"02640"
"02340"|"02641"
"02360"|"02642"
"02290"|"02643"
"02600"|"02644"
"02850"|"02645"
"02160"|"02646"
"02110"|"02647"
"02240"|"02648"
"02210"|"02649"
"02260"|"02650"
"02800"|"02651"
"02140"|"02652"
"02310"|"02653"
"02120"|"02654"
"02130"|"02655"
"02160"|"02656"
"02140"|"02657"
"02590"|"02658"
"02100"|"02659"
"02360"|"02660"
"02000"|"02661"
"02210"|"02662"
"02200"|"02663"
"02540"|"02664"
"02210"|"02665"
"02360"|"02666"
"02200"|"02667"
"02120"|"02668"
"02330"|"02669"
"02260"|"02670"
"02300"|"02671"
"02290"|"02672"
"02290"|"02673"
"02360"|"02674"
"02820"|"02675"
"02820"|"02676"
"02330"|"02677"
"02340"|"02678"
"02810"|"02679"
"02410"|"02680"
"02140"|"02681"
"02220"|"02682"
"02110"|"02683"
"02830"|"02684"
"02410"|"02685"
"02300"|"02686"
"02600"|"02687"
"02140"|"02688"
"02250"|"02689"
"02350"|"02690"
"02100"|"02691"
"02210"|"02693"
"02640"|"02694"
"02220"|"02695"
"02820"|"02696"
"02840"|"02697"
"02880"|"02698"
"02130"|"02699"
"02310"|"02701"
"02590"|"02702"
"02110"|"02703"
"02300"|"02704"
"02150"|"02705"
"02200"|"02706"
"02410"|"02707"
"02420"|"02708"
"02110"|"02709"
"02790"|"02710"
"02220"|"02711"
"02130"|"02712"
"02130"|"02713"
"02220"|"02714"
"02160"|"02715"
"02700"|"02716"
"02240"|"02717"
"02460"|"02718"
"02300"|"02719"
"02150"|"02720"
"02240"|"02721"
"02200"|"02722"
"02340"|"02723"
"02470"|"02724"
"02260"|"02725"
"02480"|"02726"
"02270"|"02727"
"02580"|"02728"
"02600"|"02729"
"02160"|"02730"
"02140"|"02731"
"02240"|"02732"
"02320"|"02733"
"02600"|"02734"
"02220"|"02735"
"02290"|"02736"
"02250"|"02737"
"02700"|"02738"
"02880"|"02739"
"02140"|"02740"
"02390"|"02741"
"02250"|"02742"
"02340"|"02743"
"02810"|"02744"
"02250"|"02745"
"02800"|"02746"
"02490"|"02747"
"02850"|"02748"
"02460"|"02749"
"02300"|"02750"
"02860"|"02751"
"02640"|"02752"
"02120"|"02753"
"02300"|"02754"
"02000"|"02755"
"02690"|"02756"
"02120"|"02757"
"02370"|"02758"
"02140"|"02759"
"02110"|"02760"
"02190"|"02761"
"02290"|"02762"
"02220"|"02763"
"02160"|"02764"
"02000"|"02765"
"02320"|"02766"
"02200"|"02767"
"02320"|"02768"
"02110"|"02769"
"02200"|"02770"
"02160"|"02771"
"02590"|"02772"
"02220"|"02773"
"02490"|"02774"
"02800"|"02775"
"02420"|"02776"
"02540"|"02777"
"02160"|"02778"
"02510"|"02779"
"02200"|"02780"
"02400"|"02781"
"02490"|"02782"
"02120"|"02783"
"02630"|"02784"
"02490"|"02785"
"02380"|"02786"
"02000"|"02787"
"02800"|"02788"
"02140"|"02789"
"02350"|"02790"
"02840"|"02791"
"02810"|"02792"
"02290"|"02793"
"02130"|"02794"
"02290"|"02795"
"02210"|"02796"
"02160"|"02797"
"02540"|"02798"
"02210"|"02799"
"02540"|"02800"
"02340"|"02801"
"02340"|"02802"
"02160"|"02803"
"02210"|"02804"
"02200"|"02805"
"02130"|"02806"
"02300"|"02807"
"02420"|"02808"
"02130"|"02809"
"02600"|"02810"
"02160"|"02811"
"02600"|"02812"
"02240"|"02813"
"02120"|"02814"
"02590"|"02815"
"02130"|"02816"
"02220"|"02817"
"02310"|"02818"
"02340"|"02819"
"02300"|"02820"
"02870"|"02821"
"02600"|"02822"
"02140"|"02823"
"02860"|"02824"
"02140"|"02826"
"02250"|"02827"
"02880"|"02828"
"02880"|"02829"
"02630"|"02830"
"02830"|"02831"
"02120"|"02832"
"02500"|"02833"
"02320"|"02834"
"03200"|"03001"
"03210"|"03002"
"03360"|"03003"
"03120"|"03004"
"03380"|"03005"
"03120"|"03006"
"03420"|"03007"
"03250"|"03008"
"03460"|"03009"
"03190"|"03010"
"03460"|"03011"
"03210"|"03012"
"03000"|"03013"
"03130"|"03014"
"03460"|"03015"
"03140"|"03016"
"03120"|"03017"
"03500"|"03018"
"03230"|"03019"
"03390"|"03020"
"03800"|"03021"
"03330"|"03022"
"03700"|"03023"
"03130"|"03024"
"03340"|"03025"
"03210"|"03026"
"03170"|"03027"
"03120"|"03028"
"03260"|"03029"
"03800"|"03030"
"03170"|"03031"
"03390"|"03032"
"03300"|"03033"
"03150"|"03034"
"03130"|"03035"
"03160"|"03036"
"03360"|"03037"
"03500"|"03038"
"03210"|"03039"
"03000"|"03040"
"03350"|"03041"
"03120"|"03042"
"03110"|"03043"
"03700"|"03044"
"03270"|"03045"
"03440"|"03046"
"03600"|"03047"
"03350"|"03048"
"03500"|"03049"
"03250"|"03050"
"03370"|"03051"
"03170"|"03052"
"03140"|"03053"
"03340"|"03054"
"03380"|"03055"
"03300"|"03056"
"03230"|"03057"
"03390"|"03058"
"03140"|"03059"
"03110"|"03060"
"03800"|"03061"
"03140"|"03062"
"03510"|"03063"
"03320"|"03064"
"03500"|"03065"
"03250"|"03066"
"03220"|"03067"
"03120"|"03068"
"03210"|"03069"
"03440"|"03070"
"03220"|"03071"
"03370"|"03072"
"03210"|"03073"
"03230"|"03074"
"03140"|"03075"
"03230"|"03076"
"03330"|"03077"
"03450"|"03078"
"03220"|"03079"
"03110"|"03080"
"03600"|"03081"
"03600"|"03082"
"03500"|"03083"
"03430"|"03084"
"03000"|"03085"
"03470"|"03086"
"03320"|"03087"
"03370"|"03088"
"03330"|"03089"
"03160"|"03090"
"03150"|"03091"
"03240"|"03092"
"03300"|"03093"
"03300"|"03094"
"03300"|"03095"
"03140"|"03096"
"03170"|"03097"
"03630"|"03098"
"03240"|"03099"
"03290"|"03100"
"03410"|"03101"
"03290"|"03102"
"03130"|"03103"
"03170"|"03104"
"03120"|"03105"
"03310"|"03106"
"03450"|"03107"
"03330"|"03108"
"03110"|"03109"
"03110"|"03110"
"03190"|"03111"
"03140"|"03112"
"03250"|"03113"
"03340"|"03114"
"03140"|"03115"
"03140"|"03116"
"03160"|"03117"
"03800"|"03118"
"03230"|"03119"
"03230"|"03120"
"03400"|"03121"
"03210"|"03122"
"03190"|"03123"
"03340"|"03124"
"03250"|"03125"
"03270"|"03126"
"03190"|"03127"
"03380"|"03128"
"03600"|"03129"
"03360"|"03130"
"03120"|"03131"
"03220"|"03132"
"03800"|"03133"
"03500"|"03134"
"03450"|"03135"
"03380"|"03136"
"03150"|"03137"
"03120"|"03138"
"03250"|"03139"
"03100"|"03140"
"03250"|"03141"
"03130"|"03142"
"03360"|"03143"
"03130"|"03144"
"03410"|"03145"
"03320"|"03146"
"03130"|"03147"
"03500"|"03148"
"03500"|"03149"
"03350"|"03150"
"03600"|"03151"
"03330"|"03152"
"03190"|"03153"
"03130"|"03154"
"03320"|"03155"
"03230"|"03156"
"03260"|"03157"
"03190"|"03158"
"03600"|"03159"
"03260"|"03160"
"03420"|"03161"
